,fips,county,zhvi_weighted,population_growth,population,All industry total_growth,unemployment_rate,unemployment_rate_growth,predicted_3yr_appreciation
1732,47081,"Hickman, TN",147618.8273540637,1.020757317765345,25178,1.214706831684167,3.1,0.673913043478261,1.4065417
1766,47149,"Rutherford, TN",264629.98822144326,1.0809004114958607,332285,1.158638684816394,2.6,0.7027027027027027,1.406296
186,6077,"San Joaquin, CA",360762.787819953,1.040036353265312,762148,1.182961429155973,6.0,0.7317073170731708,1.4053437
1807,48139,"Ellis, TX",248393.72969533454,1.0979849345341348,184826,1.2114571852183402,3.1,0.8157894736842106,1.4051251
1434,39083,"Knox, OH",144436.2827482732,1.0231985420873762,62322,1.1222380888803751,4.0,0.851063829787234,1.4049206
280,12019,"Clay, FL",209077.13257773305,1.0579311542804204,219252,1.1826912478857776,3.2,0.7111111111111111,1.403744
501,16005,"Bannock, ID",169914.0,1.036988048561576,87808,1.1398422388717122,2.7,0.7714285714285715,1.4031439
506,16029,"Caribou, ID",331369.0,1.0419397116644824,7155,1.0715780370782484,2.5,0.7142857142857143,1.4027771
353,13031,"Bulloch, GA",119114.36283676322,1.0665309075319525,79608,1.139210572705956,3.9,0.6724137931034483,1.4024613
1,1003,"Baldwin, AL",198806.91736255394,1.0753031054763706,223234,1.1681561906739513,2.8,0.5185185185185185,1.4023428
1372,37159,"Rowan, NC",179019.95987538013,1.019209525858977,142088,1.146714867804783,3.9,0.6964285714285715,1.3999119
201,6107,"Tulare, CA",219976.48321598468,1.015155639269655,466195,1.1763041139728618,9.9,0.8839285714285715,1.3997842
71,4017,"Navajo, AZ",187752.11563758293,1.0226520508541768,110924,1.1904891453131845,7.6,0.9047619047619048,1.3996412
477,13283,"Treutlen, GA",98607.09956777586,1.0284649776453054,6901,1.181656476813615,5.3,0.6794871794871795,1.398703
396,13119,"Franklin, GA",142475.47130163634,1.0462896576447391,23349,1.0474438875166163,3.6,0.679245283018868,1.3985038
1771,47159,"Smith, TN",230808.68450260343,1.0323158865102942,20157,1.2626147596595645,3.0,0.6521739130434783,1.3983631
411,13149,"Heard, GA",164205.07385875788,1.0297089558683823,11923,1.0321035393473494,3.4,0.5666666666666667,1.3981588
1555,41003,"Benton, OR",345906.4276532233,1.034865099312707,93053,1.170868598923987,3.0,0.7692307692307693,1.3977264
1982,53075,"Whitman, WA",259533.14273961328,1.0262166147796166,50104,1.2747486150474547,4.3,0.8775510204081631,1.397557
1194,32031,"Washoe, NV",387036.98028828326,1.0484653886948188,471519,1.116384859648489,3.2,0.627450980392157,1.3970258
1854,48423,"Smith, TX",155372.66574790626,1.0337092125190421,232751,1.1107118757569674,3.3,0.7333333333333333,1.39533
719,20209,"Wyandotte, KS",151488.90707190786,1.0039081227053432,165429,1.1098238949405856,4.3,0.7818181818181817,1.3945854
1805,48113,"Dallas, TX",268902.5044240109,1.0169894670552209,2635516,1.1381528711246358,3.5,0.875,1.3940603
334,12127,"Volusia, FL",208635.3990747532,1.0469880954408433,553284,1.1671087712249275,3.6,0.7058823529411765,1.3932307
1415,39045,"Fairfield, OH",194786.98275719426,1.0313176995726132,157574,1.129768713050686,3.8,0.8837209302325582,1.3930025
197,6099,"Stanislaus, CA",364381.31880670175,1.0211495489147064,550660,1.1756535040976115,6.2,0.7209302325581396,1.3926377
985,26119,"Montmorency, MI",94540.90143369176,1.0135825274367054,9328,1.227593458382621,8.2,0.8039215686274509,1.3915632
222,8041,"El Paso, CO",317551.2032020567,1.0466759749345105,720403,1.1790051480033492,3.2,0.8888888888888891,1.3913083
1850,48373,"Polk, TX",117481.0,1.0775768004028874,51353,1.1449318981653822,4.8,0.7619047619047619,1.3898956
966,26079,"Kalkaska, MI",180496.84151975112,1.0448937032960668,18038,1.2029059649858476,5.5,0.7638888888888888,1.3887448
612,18097,"Marion, IN",164204.97204828216,1.0199823408428812,964582,1.1166076457144447,3.2,0.7272727272727273,1.3886845
1562,41017,"Deschutes, OR",384165.68113586033,1.09424020014834,197692,1.2430937496364023,3.9,0.8125,1.3884835
1001,26153,"Schoolcraft, MI",106717.2940652819,1.0159407556169198,8094,1.15118942370382,6.9,0.7500000000000001,1.3871992
1844,48337,"Montague, TX",255250.0,1.0220732336255802,19818,1.0368509818261702,2.9,0.58,1.3871539
300,12061,"Indian River, FL",262260.16459205816,1.0579786846962471,159923,1.1815195808596832,4.0,0.6557377049180328,1.3871241
481,13291,"Union, GA",247861.4314885125,1.0826413427561838,24511,1.1575092423113376,3.2,0.6666666666666667,1.3867192
373,13073,"Columbia, GA",188999.3090587436,1.0634050349460542,156714,1.2122327964926423,3.1,0.6595744680851063,1.3867116
333,12125,"Union, FL",139351.82299826585,0.9999343745898412,15237,1.1062529608435892,3.1,0.7045454545454545,1.3855916
